Index, Distance, Elevation
0, 0.0, 1264.0
1, 123.84927579698103, 1285.0
2, 213.44765743700407, 1285.0
3, 323.49836937652293, 1333.0
4, 418.86935176317564, 1310.0
5, 517.4081687190265, 1318.0
6, 587.7801213031182, 1318.0
7, 771.7232172191084, 1339.0
8, 932.7676283296191, 1375.0
9, 1118.2682731224354, 1417.0
10, 1370.8139115764975, 1486.0
11, 1610.0505459866167, 1524.0
12, 1821.1595347853358, 1553.0
13, 1997.3919468946938, 1630.0
14, 2149.875686643642, 1757.0
15, 2320.6344021804684, 1794.0
16, 2508.8573411695083, 1828.0
17, 2713.031218182121, 1887.0
18, 2904.9773598842726, 1975.0
19, 3020.673749871516, 1975.0
20, 3069.3403992596313, 2031.0
